,"""enh_impression_list""","""enh_impression_name""","""enh_impression_position""","""search_sortby""","""object_area""","""object_city""","""object_currency""","""object_display_state""","""object_district""","""object_features""","""object_federalstate""","""object_gok""","""object_is_special""","""object_label""","""object_marketingtype""","""object_objekt_nutzungsart""","""object_objekt_zustand""","""object_objektart""","""object_objektart_sub""","""object_price""","""object_rooms""","""object_listingtype"""
516,Liste,kontakt,24.0,316913.0,80.0,München,EUR,sel_item,Altstadt-Lehel,,Bayern,bc54277e-b9ca-4045-bff6-cd176b302a4c,,old,Miete,WOHNEN,sonstiges,,Wohnung,2800.0,2.0,standard
517,Liste,kontakt,25.0,8022.0,100.0,München,EUR,sel_item,Schwabing-West,Balkon|EBK,Bayern,df06c36d-72de-4902-8dbc-cc80a0da8065,,old,Miete,WOHNEN,sonstiges,,Wohnung,2800.0,3.0,standard
518,Liste,kontakt,26.0,316913.0,90.0,München,EUR,sel_item,Neuhausen-Nymphenburg,Balkon,Bayern,3f8dd0bc-2496-495b-b0df-2bcca7c9fe69,,old,Miete,WOHNEN,sonstiges,,Wohnung,2800.0,3.0,standard
519,Liste,kontakt,1.0,3074107.0,31.0,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon,Bayern,2b0afb27-21ec-4b09-bfe2-cd06e20ad7d2,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,2850.0,1.0,standard
520,Liste,kontakt,2.0,1938659.0,108.0,München,EUR,sel_item,Schwabing-Freimann,Balkon|EBK,Bayern,20f6b364-5752-4301-9375-fa48f6b45dd1,,old,Miete,WOHNEN,sonstiges,,Wohnung,2860.0,3.0,standard
521,Liste,kontakt,3.0,2062610.0,110.79,München,EUR,sel_item,Obergiesing,,Bayern,89122b1c-b5c4-4214-a598-f336f3e6e570,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,2880.0,3.0,standard
522,Liste,kontakt,4.0,316913.0,98.0,München,EUR,sel_item,Schwabing-West,Balkon,Bayern,c5cda3d7-ac11-4940-8f66-921063df5fdb,,old,Miete,WOHNEN,sonstiges,,Wohnung,2920.0,4.0,standard
523,Liste,kontakt,5.0,1286399.0,75.0,München,EUR,sel_item,Neuhausen-Nymphenburg,EBK,Bayern,bc87a2e3-0ce9-4775-8bc3-99172cdb0e55,,new,Miete,WOHNEN,sonstiges,,LOFT-STUDIO-ATELIER,2950.0,1.0,standard
524,Liste,kontakt,6.0,316913.0,107.0,München,EUR,sel_item,Berg am Laim,,Bayern,5fc66afd-418b-42f8-94a3-7517d719c32c,,old,Miete,WOHNEN,sonstiges,,Wohnung,3000.0,4.0,standard
525,Liste,kontakt,7.0,1381214.0,150.0,München,EUR,sel_item,Schwabing-Freimann,EBK,Bayern,31ad56d0-4f60-40b1-ad56-b0ff3e2e4bf3,,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,3000.0,5.0,standard
526,Liste,kontakt,8.0,2314152.0,160.34,München,EUR,sel_item,Neuhausen-Nymphenburg,Balkon|EBK,Bayern,a297341d-74c4-46bd-bc5c-456e695b330a,,old,Miete,WOHNEN,sonstiges,,Wohnung,3000.0,5.0,standard
527,Liste,kontakt,9.0,316913.0,124.0,München,EUR,sel_item,Maxvorstadt,,Bayern,51ad8407-ff1c-4ef5-a183-cfe34469ac97,,old,Miete,WOHNEN,sonstiges,,Wohnung,3000.0,3.0,standard
528,Liste,kontakt,10.0,1964442.0,84.0,München,EUR,sel_item,Maxvorstadt,Garten|Balkon|EBK,Bayern,b5bb1d6c-cf36-4c4b-ab1b-f6cd5aaac994,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,3000.0,0.0,standard
529,Liste,kontakt,11.0,314425.0,131.0,München,EUR,sel_item,Schwabing-Freimann,Balkon|EBK,Bayern,28252427-0eeb-4b6c-acd6-56129ca8b656,,new,Miete,WOHNEN,sonstiges,,ETAGE,3070.0,3.0,standard
530,Liste,kontakt,12.0,430645.0,118.6,München,EUR,sel_item,Ramersdorf-Perlach,Balkon,Bayern,371c33d8-9692-40ed-9443-923fe2079a36,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,3100.0,4.0,standard
